symbol,mode,n_signals,n_B,n_S,skill6,skill12,skill24
000402.SZ,resonance,619,425,194,0.0553,0.0362,0.0367
000403.SZ,strict,684,379,305,-0.0477,-0.0803,-0.127
000403.SZ,floor,745,382,363,-0.0466,-0.0755,-0.1089
000403.SZ,resonance,1001,664,337,-0.02,-0.0337,-0.0808
000404.SZ,strict,599,325,274,0.0042,0.0347,0.0064
000404.SZ,floor,663,329,334,0.01,0.0395,0.011
000404.SZ,resonance,834,523,311,0.0298,0.0452,0.0456
000407.SZ,strict,143,88,55,-0.0631,-0.0195,-0.0603
000407.SZ,floor,154,88,66,-0.0336,0.0128,-0.0319
000407.SZ,resonance,212,144,68,0.0095,0.0301,-0.0052
000408.SZ,strict,533,308,225,-0.0027,-0.0297,0.0299
000408.SZ,floor,597,319,278,-0.0053,-0.0274,0.0154
000408.SZ,resonance,574,351,223,-0.0112,-0.0634,-0.0179
000409.SZ,strict,555,315,240,-0.0291,-0.0141,-0.0277
000409.SZ,floor,587,321,266,-0.0244,-0.0176,-0.0259
000409.SZ,resonance,806,539,267,-0.0176,-0.0298,-0.0419
000415.SZ,strict,583,339,244,-0.0297,-0.0656,-0.0335
000415.SZ,floor,685,358,327,-0.0023,-0.0348,-0.0136
000415.SZ,resonance,795,502,293,0.0051,-0.0159,-0.0115
000417.SZ,strict,658,392,266,-0.0121,-0.0211,0.019
000417.SZ,floor,771,422,349,0.0293,0.0211,0.0688
000417.SZ,resonance,924,614,310,0.0133,-0.0142,0.0091
000419.SZ,strict,626,327,299,-0.0419,-0.0247,-0.032
000419.SZ,floor,669,335,334,-0.0365,-0.0277,-0.032
000419.SZ,resonance,878,539,339,-0.0034,-0.0014,-0.0049
000421.SZ,strict,584,349,235,-0.0199,-0.0231,-0.0058
000421.SZ,floor,622,354,268,-0.0132,-0.0189,-0.0075
000421.SZ,resonance,841,565,276,0.0059,0.0051,0.005
000422.SZ,strict,716,411,305,-0.0307,-0.0418,-0.0558
000422.SZ,floor,839,432,407,-0.02,-0.0402,-0.0202
000422.SZ,resonance,913,591,322,-0.009,-0.0096,-0.0233
000423.SZ,strict,1053,564,489,0.0074,0.0116,0.0034
000423.SZ,floor,1074,565,509,0.0101,0.0139,0.0077
000423.SZ,resonance,1147,680,467,0.0177,0.0176,0.0009
