symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount
300757.SZ,罗博特科,1781243760000,2026-06-12,2026-06-12 13:56:00,611.65,611.66,609.92,610.0,168,10267494.0
300757.SZ,罗博特科,1781243820000,2026-06-12,2026-06-12 13:57:00,609.91,609.94,608.44,608.49,185,11267135.0
300757.SZ,罗博特科,1781243880000,2026-06-12,2026-06-12 13:58:00,608.5,608.99,608.01,608.01,181,11011109.0
300757.SZ,罗博特科,1781243940000,2026-06-12,2026-06-12 13:59:00,608.01,608.47,608.0,608.21,171,10401403.0
300757.SZ,罗博特科,1781244000000,2026-06-12,2026-06-12 14:00:00,608.23,609.7,608.22,609.27,165,10047640.0
300757.SZ,罗博特科,1781244060000,2026-06-12,2026-06-12 14:01:00,609.27,609.67,609.18,609.61,175,10664989.0
300757.SZ,罗博特科,1781244120000,2026-06-12,2026-06-12 14:02:00,609.58,612.4,609.58,612.4,287,17541849.0
300757.SZ,罗博特科,1781244180000,2026-06-12,2026-06-12 14:03:00,612.41,613.28,612.12,613.28,298,18261965.0
300757.SZ,罗博特科,1781244240000,2026-06-12,2026-06-12 14:04:00,613.3,613.69,611.58,611.58,256,15690994.0
300757.SZ,罗博特科,1781244300000,2026-06-12,2026-06-12 14:05:00,611.59,612.41,611.58,612.3,93,5691958.0
300757.SZ,罗博特科,1781244360000,2026-06-12,2026-06-12 14:06:00,612.29,612.37,611.67,611.99,184,11262601.0
300757.SZ,罗博特科,1781244420000,2026-06-12,2026-06-12 14:07:00,611.99,611.99,610.48,610.48,117,7148122.0
300757.SZ,罗博特科,1781244480000,2026-06-12,2026-06-12 14:08:00,610.47,610.47,608.85,608.85,130,7924723.0
300757.SZ,罗博特科,1781244540000,2026-06-12,2026-06-12 14:09:00,608.83,609.76,608.8,609.76,150,9134374.0
300757.SZ,罗博特科,1781244600000,2026-06-12,2026-06-12 14:10:00,609.76,609.94,609.06,609.06,160,9754166.0
300757.SZ,罗博特科,1781244660000,2026-06-12,2026-06-12 14:11:00,609.06,609.06,608.61,608.9,172,10473825.0
300757.SZ,罗博特科,1781244720000,2026-06-12,2026-06-12 14:12:00,608.9,609.94,608.9,609.94,157,9567394.0
300757.SZ,罗博特科,1781244780000,2026-06-12,2026-06-12 14:13:00,609.95,610.01,609.58,609.62,105,6403421.0
300757.SZ,罗博特科,1781244840000,2026-06-12,2026-06-12 14:14:00,609.64,610.99,609.62,610.99,156,9519743.0
300757.SZ,罗博特科,1781244900000,2026-06-12,2026-06-12 14:15:00,610.65,610.99,610.5,610.5,117,7146554.0
300757.SZ,罗博特科,1781244960000,2026-06-12,2026-06-12 14:16:00,610.57,611.42,610.17,610.96,173,10571785.0
300757.SZ,罗博特科,1781245020000,2026-06-12,2026-06-12 14:17:00,611.42,611.42,610.02,610.42,200,12215059.0
300757.SZ,罗博特科,1781245080000,2026-06-12,2026-06-12 14:18:00,610.56,610.56,608.88,608.88,247,15059838.0
300757.SZ,罗博特科,1781245140000,2026-06-12,2026-06-12 14:19:00,608.88,609.29,608.88,609.29,204,12423416.0
300757.SZ,罗博特科,1781245200000,2026-06-12,2026-06-12 14:20:00,609.28,609.28,608.0,608.0,175,10649683.0
300757.SZ,罗博特科,1781245260000,2026-06-12,2026-06-12 14:21:00,608.0,609.87,608.0,609.87,271,16502522.0
300757.SZ,罗博特科,1781245320000,2026-06-12,2026-06-12 14:22:00,609.87,611.5,609.86,611.5,171,10439513.0
300757.SZ,罗博特科,1781245380000,2026-06-12,2026-06-12 14:23:00,611.87,612.0,610.27,611.5,178,10883174.0
300757.SZ,罗博特科,1781245440000,2026-06-12,2026-06-12 14:24:00,610.29,611.48,610.29,611.26,169,10325276.0
