sym,n_bars,split,n_train,skill24_train,n_test,skill24_test,skill24_test_early,skill24_test_late
603900.SH,5000,3300,291,-0.0429,138,-0.0301,0.0034,-0.0712
603920.SH,34994,23096,1895,0.0289,977,0.0127,0.0865,-0.0587
603949.SH,34994,23096,1953,0.0006,941,0.0101,-0.0332,0.0573
603969.SH,34994,23096,2032,-0.0244,1008,-0.0174,-0.0401,0.0049
603992.SH,34994,23096,1912,0.0062,966,0.0015,-0.0479,0.055
605009.SH,34994,23096,1991,0.0129,967,-0.0676,-0.0606,-0.0754
605058.SH,34994,23096,1953,0.0081,999,0.076,0.1521,0.0056
605108.SH,34994,23096,1994,-0.0232,1005,-0.058,-0.0621,-0.0539
605138.SH,34994,23096,2081,0.0484,1003,0.0267,-0.0074,0.0604
605186.SH,34994,23096,1991,-0.0005,973,0.0092,-0.0913,0.1125
605266.SH,34994,23096,2007,0.0254,990,-0.0838,-0.07,-0.0981
605305.SH,34994,23096,1980,0.0094,1040,0.0516,0.0398,0.0637
605377.SH,34994,23096,2081,0.0085,1033,-0.0481,-0.0344,-0.0633
605588.SH,34994,23096,1986,0.0002,1003,-0.0235,-0.0216,-0.0253
688010.SH,34994,23096,1934,0.0521,958,-0.0547,0.0098,-0.1197
688023.SH,34994,23096,1859,-0.0302,970,-0.071,-0.1026,-0.0418
688046.SH,9999,6599,570,-0.0,265,-0.116,-0.0876,-0.1465
688059.SH,34994,23096,1849,0.0047,972,-0.0012,-0.0538,0.0496
688076.SH,24996,16497,1394,-0.0211,725,0.0092,-0.0222,0.0431
688090.SH,34994,23096,1893,0.0025,959,0.0659,0.099,0.0333
688103.SH,34994,23096,1884,0.0168,960,-0.1401,-0.085,-0.1962
688122.SH,34994,23096,1935,-0.025,974,-0.0223,0.0802,-0.1274
