sym,date,net_pct,cum_net_pct
301526.SZ,2025-12-09,1.3197,73.3009
002745.SZ,2025-12-09,0.2798,73.5807
688244.SH,2025-12-09,0.3755,73.9562
920489.BJ,2025-12-09,1.6213,75.5775
600551.SH,2025-12-09,0.0792,75.6567
688252.SH,2025-12-09,0.1843,75.841
002008.SZ,2025-12-09,0.6705,76.5115
002149.SZ,2025-12-09,2.1967,78.7082
688135.SH,2025-12-09,0.7002,79.4084
301137.SZ,2025-12-09,0.3247,79.7331
601916.SH,2025-12-09,0.2868,80.0199
603337.SH,2025-12-09,0.5738,80.5937
000788.SZ,2025-12-09,0.2386,80.8323
603113.SH,2025-12-09,1.3114,82.1437
000037.SZ,2025-12-09,0.538,82.6817
300664.SZ,2025-12-09,0.1367,82.8184
300557.SZ,2025-12-09,0.1973,83.0157
920640.BJ,2025-12-09,0.6644,83.6801
000523.SZ,2025-12-09,1.1029,84.783
002324.SZ,2025-12-09,0.354,85.137
300736.SZ,2025-12-09,1.4999,86.6369
301303.SZ,2025-12-09,-0.04,86.5969
688616.SH,2025-12-09,0.4431,87.04
300197.SZ,2025-12-09,0.4948,87.5348
001317.SZ,2025-12-09,0.3176,87.8524
000507.SZ,2025-12-09,0.148,88.0004
688347.SH,2025-12-09,0.5065,88.5069
300604.SZ,2025-12-09,0.3403,88.8472
600479.SH,2025-12-09,0.3381,89.1853
300441.SZ,2025-12-09,0.0889,89.2742
920826.BJ,2025-12-09,1.2268,90.501
002791.SZ,2025-12-09,0.0976,90.5986
301203.SZ,2025-12-09,0.2936,90.8922
300146.SZ,2025-12-09,0.387,91.2792
603282.SH,2025-12-09,0.5679,91.8471
603917.SH,2025-12-09,0.4421,92.2892
600249.SH,2025-12-09,0.6041,92.8933
000962.SZ,2025-12-09,0.3264,93.2197
300889.SZ,2025-12-09,2.029,95.2487
300518.SZ,2025-12-09,0.8492,96.0979
920725.BJ,2025-12-09,3.5682,99.6661
300368.SZ,2025-12-09,0.2192,99.8853
688244.SH,2025-12-09,0.6281,100.5134
688616.SH,2025-12-09,0.3606,100.874
001317.SZ,2025-12-09,0.1505,101.0245
002008.SZ,2025-12-09,0.4701,101.4946
001311.SZ,2025-12-09,1.0765,102.5711
300441.SZ,2025-12-09,0.2174,102.7885
000572.SZ,2025-12-09,0.8324,103.6209
301526.SZ,2025-12-09,1.3471,104.968
300395.SZ,2025-12-09,1.0416,106.0096
603917.SH,2025-12-09,0.2343,106.2439
688347.SH,2025-12-09,1.1079,107.3518
600624.SH,2025-12-09,0.3013,107.6531
603113.SH,2025-12-09,0.2585,107.9116
300557.SZ,2025-12-09,0.0618,107.9734
300889.SZ,2025-12-09,0.2997,108.2731
600551.SH,2025-12-09,0.1981,108.4712
301526.SZ,2025-12-09,1.7144,110.1856
300664.SZ,2025-12-09,0.4919,110.6775
000572.SZ,2025-12-09,0.7184,111.3959
603334.SH,2025-12-09,0.0739,111.4698
300264.SZ,2025-12-09,0.8437,112.3135
300395.SZ,2025-12-09,0.3891,112.7026
600689.SH,2025-12-09,0.1652,112.8678
000962.SZ,2025-12-09,0.1434,113.0112
300518.SZ,2025-12-09,0.3144,113.3256
300197.SZ,2025-12-09,-0.5719,112.7537
300557.SZ,2025-12-09,0.1295,112.8832
300480.SZ,2025-12-09,0.3945,113.2777
002791.SZ,2025-12-09,0.0974,113.3751
603236.SH,2025-12-09,0.189,113.5641
000507.SZ,2025-12-09,0.1473,113.7114
603950.SH,2025-12-09,0.9249,114.6363
603917.SH,2025-12-09,0.1662,114.8025
688616.SH,2025-12-09,0.0403,114.8428
000962.SZ,2025-12-09,0.2173,115.0601
300664.SZ,2025-12-09,0.1364,115.1965
603334.SH,2025-12-09,0.3932,115.5897
688135.SH,2025-12-09,0.163,115.7527
300395.SZ,2025-12-09,0.8457,116.5984
300480.SZ,2025-12-09,0.3311,116.9295
001311.SZ,2025-12-09,0.6504,117.5799
688347.SH,2025-12-09,0.9776,118.5575
301526.SZ,2025-12-09,1.3147,119.8722
300604.SZ,2025-12-09,0.7157,120.5879
603236.SH,2025-12-09,0.2433,120.8312
688578.SH,2025-12-09,0.2852,121.1164
300736.SZ,2025-12-09,0.6765,121.7929
002008.SZ,2025-12-09,0.5185,122.3114
920640.BJ,2025-12-09,0.1594,122.4708
300197.SZ,2025-12-09,-0.04,122.4308
603282.SH,2025-12-09,0.4134,122.8442
002745.SZ,2025-12-09,0.6045,123.4487
000037.SZ,2025-12-09,0.1894,123.6381
001311.SZ,2025-12-09,0.168,123.8061
688578.SH,2025-12-09,0.1832,123.9893
920725.BJ,2025-12-09,0.463,124.4523
002443.SZ,2025-12-09,0.845,125.2973
603938.SH,2025-12-09,0.2933,125.5906
300146.SZ,2025-12-09,0.0451,125.6357
603950.SH,2025-12-09,0.2789,125.9146
600689.SH,2025-12-09,0.8553,126.7699
688244.SH,2025-12-09,0.5866,127.3565
300197.SZ,2025-12-09,-0.04,127.3165
001311.SZ,2025-12-09,0.0639,127.3804
688619.SH,2025-12-09,0.624,128.0044
000037.SZ,2025-12-09,0.3044,128.3088
603282.SH,2025-12-09,0.3144,128.6232
300441.SZ,2025-12-09,0.089,128.7122
920640.BJ,2025-12-09,0.7783,129.4905
920826.BJ,2025-12-09,1.7017,131.1922
920640.BJ,2025-12-09,0.5583,131.7505
001311.SZ,2025-12-09,1.0271,132.7776
603282.SH,2025-12-09,-0.1411,132.6365
000507.SZ,2025-12-09,0.1473,132.7838
300518.SZ,2025-12-09,1.2287,134.0125
601916.SH,2025-12-09,0.2847,134.2972
002149.SZ,2025-12-09,1.8775,136.1747
603330.SH,2025-12-09,0.3466,136.5213
300736.SZ,2025-12-10,3.1765,139.6978
001317.SZ,2025-12-10,1.0464,140.7442
002337.SZ,2025-12-10,-0.04,140.7042
000037.SZ,2025-12-10,0.6504,141.3546
300604.SZ,2025-12-10,1.0269,142.3815
600249.SH,2025-12-10,0.7524,143.1339
002149.SZ,2025-12-10,2.6334,145.7673
300938.SZ,2025-12-10,0.8895,146.6568
000523.SZ,2025-12-10,-0.04,146.6168
